location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
9714,Addis Ababa Central,pm25,15.0,µg/m³,2025-08-03T05:00:00Z,2025-08-03T08:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,13.0,µg/m³,2025-08-03T06:00:00Z,2025-08-03T09:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,25.0,µg/m³,2025-08-03T07:00:00Z,2025-08-03T10:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,21.0,µg/m³,2025-08-03T08:00:00Z,2025-08-03T11:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,19.0,µg/m³,2025-08-03T09:00:00Z,2025-08-03T12:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,26.0,µg/m³,2025-08-03T10:00:00Z,2025-08-03T13:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,32.0,µg/m³,2025-08-03T11:00:00Z,2025-08-03T14:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,32.0,µg/m³,2025-08-03T14:00:00Z,2025-08-03T17:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,36.0,µg/m³,2025-08-03T16:00:00Z,2025-08-03T19:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,32.0,µg/m³,2025-08-03T17:00:00Z,2025-08-03T20:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,37.0,µg/m³,2025-08-03T18:00:00Z,2025-08-03T21:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,34.0,µg/m³,2025-08-03T19:00:00Z,2025-08-03T22:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,46.0,µg/m³,2025-08-03T20:00:00Z,2025-08-03T23:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,46.0,µg/m³,2025-08-03T21:00:00Z,2025-08-04T00:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,18.0,µg/m³,2025-08-03T23:00:00Z,2025-08-04T02:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
9714,Addis Ababa Central,pm25,23.0,µg/m³,2025-08-04T00:00:00Z,2025-08-04T03:00:00+03:00,Africa/Addis_Ababa,9.058498,38.761641,,,,Unknown Governmental Organization,AirNow
